Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_SPDT","SW_SPDT_PCM12",99.330000,-59.150000,-90.000000,top
"C1","100n","C_0402_1005Metric",116.020000,-56.000000,0.000000,top
"C2","100n","C_0402_1005Metric",125.000000,-59.480000,-90.000000,top
"C3","100n","C_0402_1005Metric",121.660000,-68.170000,180.000000,top
"C4","10u","C_0603_1608Metric",116.000000,-54.500000,0.000000,top
"C5","10n","C_0402_1005Metric",112.650000,-63.155000,90.000000,top
"C6","1u","C_0402_1005Metric",112.000000,-68.000000,180.000000,top
"C7","1u","C_0402_1005Metric",112.020000,-70.000000,180.000000,top
"C8","100n","C_0402_1005Metric",115.980000,-69.500000,0.000000,top
"C9","10p","C_0402_1005Metric",109.480000,-59.630000,90.000000,top
"C10","10p","C_0402_1005Metric",109.500000,-62.520000,90.000000,top
"C11","22u","C_0805_2012Metric",130.000000,-65.700000,0.000000,top
"C12","22u","C_0805_2012Metric",137.000000,-71.950000,90.000000,top
"C13","100n","C_0402_1005Metric",112.500000,-58.980000,90.000000,top
"D1","LED","LED_0603_1608Metric",140.000000,-72.287500,-90.000000,top
"FB1","120R","L_0603_1608Metric",114.000000,-69.000000,-90.000000,top
"I2C","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",114.920000,-78.000000,90.000000,top
"R1","10k","R_0402_1005Metric",111.010000,-55.500000,0.000000,top
"R2","1k5","R_0402_1005Metric",129.980000,-60.260000,-90.000000,top
"R3","1k5","R_0402_1005Metric",140.000000,-68.990000,90.000000,top
"R4","1k5","R_0402_1005Metric",117.500000,-73.500000,180.000000,top
"R5","1k5","R_0402_1005Metric",119.990000,-73.500000,0.000000,top
"SWD","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",130.790000,-50.250000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",118.750000,-62.162500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",131.000000,-71.850000,-90.000000,top
"UART","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",116.190000,-50.240000,-90.000000,top
"USB","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",138.900000,-60.800000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",106.630000,-61.120000,-90.000000,top
